City_ID,City,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Country,Date,Weather description
0,Vaini,-21.2,-175.2,77.16,83,20,8.05,TO,2022-03-29 08:23:38,few clouds
1,Rangoon,16.8053,96.1561,94.96,52,75,6.91,MM,2022-03-29 08:23:39,broken clouds
2,Rikitea,-23.1203,-134.9692,77.81,70,92,2.71,PF,2022-03-29 08:23:40,overcast clouds
3,Rikitea,-23.1203,-134.9692,77.81,70,92,2.71,PF,2022-03-29 08:23:40,overcast clouds
4,Pisco,-13.7,-76.2167,66.25,82,40,13.8,PE,2022-03-29 08:23:41,scattered clouds
5,Ribeira Grande,38.5167,-28.7,61.2,94,75,8.05,PT,2022-03-29 08:23:41,mist
6,Coquimbo,-29.9533,-71.3436,55.13,100,100,4.61,CL,2022-03-29 08:23:42,overcast clouds
7,Karoi,-16.8099,29.6925,69.48,76,67,8.75,ZW,2022-03-29 08:23:42,broken clouds
8,Mafra,-26.1114,-49.8053,62.44,88,100,2.01,BR,2022-03-29 08:23:43,overcast clouds
9,Nikolskoye,59.7035,30.7861,28.87,76,100,5.17,RU,2022-03-29 08:23:43,light snow
10,Port Elizabeth,-33.918,25.5701,77.29,65,0,3.44,ZA,2022-03-29 08:23:00,clear sky
11,Puerto Ayora,-0.7393,-90.3518,77.31,86,60,5.39,EC,2022-03-29 08:23:44,broken clouds
12,Broken Hill,-31.95,141.4333,79.81,24,0,13.82,AU,2022-03-29 08:23:45,clear sky
13,Cayenne,4.9333,-52.3333,80.1,1,75,4.61,GF,2022-03-29 08:23:45,broken clouds
14,Rikitea,-23.1203,-134.9692,77.81,70,92,2.71,PF,2022-03-29 08:23:40,overcast clouds
15,Klaksvik,62.2266,-6.589,32.92,58,100,19.13,FO,2022-03-29 08:23:46,overcast clouds
16,Male,4.1748,73.5089,82.18,71,0,4.43,MV,2022-03-29 08:23:47,clear sky
17,Rikitea,-23.1203,-134.9692,77.81,70,92,2.71,PF,2022-03-29 08:23:40,overcast clouds
18,Esperance,-33.8667,121.9,66.99,67,100,17.11,AU,2022-03-29 08:23:48,light rain
19,Castro,-24.7911,-50.0119,59.27,97,57,6.69,BR,2022-03-29 08:23:48,broken clouds
20,Avarua,-21.2078,-159.775,78.85,89,20,5.75,CK,2022-03-29 08:23:49,few clouds
21,Rikitea,-23.1203,-134.9692,77.81,70,92,2.71,PF,2022-03-29 08:23:40,overcast clouds
22,Saskylakh,71.9167,114.0833,-2.18,92,100,10.31,RU,2022-03-29 08:23:50,overcast clouds
23,Cape Town,-33.9258,18.4232,64.11,94,100,16.11,ZA,2022-03-29 08:20:02,light intensity drizzle rain
24,Cap Malheureux,-19.9842,57.6142,85.46,66,0,7.0,MU,2022-03-29 08:23:51,clear sky
25,Flinders,-34.5833,150.8552,71.19,92,100,5.99,AU,2022-03-29 08:23:51,overcast clouds
26,Oranjemund,-28.55,16.4333,66.85,73,1,6.04,NA,2022-03-29 08:23:52,clear sky
27,Harer,9.3094,42.1258,74.79,18,98,7.14,ET,2022-03-29 08:23:52,overcast clouds
28,Dikson,73.5069,80.5464,10.29,82,100,10.42,RU,2022-03-29 08:23:53,overcast clouds
29,Cabo San Lucas,22.8909,-109.9124,66.61,49,96,15.32,MX,2022-03-29 08:22:01,overcast clouds
30,Busselton,-33.65,115.3333,76.78,57,100,17.27,AU,2022-03-29 08:23:54,overcast clouds
31,Humaita,-7.5061,-63.0208,73.36,99,100,2.06,BR,2022-03-29 08:23:54,overcast clouds
32,Kiunga,-6.1219,141.2906,75.47,95,98,3.74,PG,2022-03-29 08:23:55,overcast clouds
33,Nouakchott,18.0858,-15.9785,64.33,77,59,13.8,MR,2022-03-29 08:23:08,broken clouds
34,Bonnyville,54.2668,-110.735,27.72,99,92,4.18,CA,2022-03-29 08:23:55,overcast clouds
35,Rikitea,-23.1203,-134.9692,77.81,70,92,2.71,PF,2022-03-29 08:23:40,overcast clouds
36,Lavrentiya,65.5833,-171.0,-4.63,91,4,6.93,RU,2022-03-29 08:23:56,clear sky
37,Charagua,-19.8,-63.2167,65.17,94,44,7.43,BO,2022-03-29 08:23:57,scattered clouds
38,Geraldton,-28.7667,114.6,77.41,65,75,19.57,AU,2022-03-29 08:23:57,broken clouds
39,Vaini,-21.2,-175.2,77.16,83,20,8.05,TO,2022-03-29 08:23:38,few clouds
