City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
0,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
2,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,People ThankYou
3,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Port Elizabeth,ZA,77.29,clear sky,-33.918,25.5701,39 On Nile Guest House
11,Puerto Ayora,EC,77.31,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Broken Hill,AU,79.81,clear sky,-31.95,141.4333,Royal Exchange Hotel
13,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
14,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Male,MV,82.18,clear sky,4.1748,73.5089,Hotel Octave Maldives
17,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,People ThankYou
20,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
21,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Cap Malheureux,MU,85.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
30,Busselton,AU,76.78,overcast clouds,-33.65,115.3333,Observatory Guest House
32,Kiunga,PG,75.47,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
35,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,People ThankYou
38,Geraldton,AU,77.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
39,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
40,Garissa,KE,89.33,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
42,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,People ThankYou
46,Harper,LR,80.15,light rain,4.375,-7.7169,Screensaver
48,Kavieng,PG,82.92,clear sky,-2.5744,150.7967,Nusa Island Retreat
51,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Lafiagi,NG,86.02,few clouds,8.8667,5.4167,Bus group international
55,Omboue,GA,77.16,overcast clouds,-1.5746,9.2618,Hotel Olako
60,Port Elizabeth,ZA,77.29,clear sky,-33.918,25.5701,39 On Nile Guest House
62,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
67,Busselton,AU,76.78,overcast clouds,-33.65,115.3333,Observatory Guest House
68,Touros,BR,78.44,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
69,Bambous Virieux,MU,85.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
71,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,People ThankYou
76,Tautira,PF,81.79,few clouds,-17.7333,-149.15,Pension Oaoa
78,Rikitea,PF,77.81,overcast clouds,-23.1203,-134.9692,People ThankYou
79,Port Elizabeth,ZA,77.29,clear sky,-33.918,25.5701,39 On Nile Guest House
81,Puerto Ayora,EC,77.31,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
85,Busselton,AU,76.78,overcast clouds,-33.65,115.3333,Observatory Guest House
