City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Country,Cloudiness,Wind Speed
0,Port Elizabeth,2022-03-25 01:11:07,-33.918,25.5701,64.09,99,ZA,100,10.36
1,Lagos,2022-03-25 01:07:29,6.5833,3.75,81.36,83,NG,100,6.22
2,Severo-Kurilsk,2022-03-25 01:11:08,50.6789,156.125,30.15,67,RU,99,9.95
3,Kyabe,2022-03-25 01:11:08,9.4515,18.9449,84.02,40,TD,83,2.3
4,Busselton,2022-03-25 01:11:09,-33.65,115.3333,72.0,41,AU,36,12.84
5,Nemuro,2022-03-25 01:11:09,43.3236,145.575,32.63,83,JP,14,7.56
6,Iqaluit,2022-03-25 01:11:10,63.7506,-68.5145,4.37,92,CA,100,3.0
7,Ixtapa,2022-03-25 01:11:10,20.7,-105.2,72.63,68,MX,0,6.91
8,Puerto Ayora,2022-03-25 01:11:10,-0.7393,-90.3518,78.76,80,EC,100,8.86
9,Bisert,2022-03-25 01:11:11,56.8617,59.0523,29.07,89,RU,99,14.83
10,Avarua,2022-03-25 01:11:11,-21.2078,-159.775,82.45,83,CK,75,4.61
11,Cabanas,2022-03-25 01:11:12,22.9758,-82.9219,78.44,71,CU,100,3.22
12,Buraydah,2022-03-25 01:11:12,26.326,43.975,56.3,28,SA,0,8.72
13,Hermanus,2022-03-25 01:07:01,-34.4187,19.2345,58.8,78,ZA,100,15.28
14,Butaritari,2022-03-25 01:10:46,3.0707,172.7902,80.67,71,KI,55,13.33
15,Dallas,2022-03-25 01:09:54,32.7668,-96.7836,64.65,24,US,20,9.22
16,Beihai,2022-03-25 01:11:13,21.4833,109.1,75.61,90,CN,87,10.96
17,Khatanga,2022-03-25 01:11:13,71.9667,102.5,-9.78,98,RU,100,1.54
18,Te Anau,2022-03-25 01:11:14,-45.4167,167.7167,63.23,48,NZ,9,2.21
19,Charlestown,2022-03-25 01:11:14,-32.95,151.6667,75.85,79,AU,81,4.0
20,Haines Junction,2022-03-25 01:11:15,60.7522,-137.5108,31.86,87,CA,100,2.35
21,Itarema,2022-03-25 01:10:19,-2.9248,-39.9167,77.43,86,BR,35,7.25
22,Luderitz,2022-03-25 01:11:15,-26.6481,15.1594,63.39,81,NA,0,15.68
23,Japura,2022-03-25 01:11:16,-0.3167,102.35,79.65,85,ID,64,0.56
24,Leningradskiy,2022-03-25 01:11:16,69.3833,178.4167,-6.14,95,RU,85,9.84
25,Lebu,2022-03-25 01:11:17,-37.6167,-73.65,55.15,81,CL,2,24.65
26,Nikolskoye,2022-03-25 01:11:17,59.7035,30.7861,38.88,100,RU,100,2.91
27,Ponta Do Sol,2022-03-25 01:11:17,32.6667,-17.1,62.71,75,PT,48,6.22
28,Ushuaia,2022-03-25 01:11:18,-54.8,-68.3,47.86,61,AR,40,16.11
29,Laizhou,2022-03-25 01:11:18,37.1717,119.9214,48.67,92,CN,100,5.55
30,Svetlaya,2022-03-25 01:11:19,46.5389,138.3297,35.17,76,RU,96,5.35
31,San Patricio,2022-03-25 01:11:19,28.017,-97.5169,73.35,21,US,0,5.44
32,San Joaquin,2022-03-25 01:11:19,37.9333,-121.3011,82.47,28,US,0,10.36
33,Lasa,2022-03-25 01:11:20,46.6166,10.7002,41.02,70,IT,1,1.63
34,Kupang,2022-03-25 01:06:26,-10.1667,123.5833,81.73,82,ID,100,1.21
35,Margate,2022-03-25 01:11:20,51.3813,1.3862,49.3,86,GB,0,1.99
36,Kodiak,2022-03-25 01:11:21,57.79,-152.4072,35.11,93,US,100,12.66
37,Necocli,2022-03-25 01:11:21,8.4234,-76.786,79.29,83,CO,16,10.16
38,Rikitea,2022-03-25 01:11:22,-23.1203,-134.9692,79.77,70,PF,100,12.97
39,Kavieng,2022-03-25 01:11:22,-2.5744,150.7967,85.57,62,PG,69,6.96
40,Katihar,2022-03-25 01:11:22,25.5333,87.5833,74.32,33,IN,97,7.31
41,Finnsnes,2022-03-25 01:11:23,69.2296,17.9811,26.76,91,NO,100,3.42
42,Lompoc,2022-03-25 01:06:54,34.6391,-120.4579,77.14,77,US,0,14.97
43,Kudahuvadhoo,2022-03-25 01:11:24,2.6708,72.8944,82.87,66,MV,13,15.48
44,Khuzdar,2022-03-25 01:11:24,27.7384,66.6434,61.59,17,PK,0,5.93
45,Faanui,2022-03-25 01:07:03,-16.4833,-151.75,81.7,72,PF,28,12.84
46,Mataura,2022-03-25 01:11:25,-46.1927,168.8643,66.58,46,NZ,9,2.77
47,San Policarpo,2022-03-25 01:11:25,12.1791,125.5072,82.26,80,PH,97,11.16
48,Punta Arenas,2022-03-25 01:10:47,-53.15,-70.9167,50.11,62,CL,0,10.36
49,Sangar,2022-03-25 01:12:26,63.9242,127.4739,15.82,88,RU,100,5.19
50,East London,2022-03-25 01:08:24,-33.0153,27.9116,68.58,72,ZA,54,15.21
51,Tuktoyaktuk,2022-03-25 01:12:27,69.4541,-133.0374,-11.36,89,CA,5,12.1
52,Yellowknife,2022-03-25 01:12:27,62.456,-114.3525,5.56,63,CA,100,11.01
53,Bambous Virieux,2022-03-25 01:12:28,-20.3428,57.7575,76.21,77,MU,65,11.1
54,Jamestown,2022-03-25 01:12:28,42.097,-79.2353,47.95,57,US,100,9.22
55,Kimbe,2022-03-25 01:12:29,-5.5502,150.1429,88.57,61,PG,21,4.83
56,Georgetown,2022-03-25 01:12:29,5.4112,100.3354,82.33,83,MY,20,0.0
57,Tasiilaq,2022-03-25 01:12:30,65.6145,-37.6368,17.76,62,GL,100,8.19
58,Upernavik,2022-03-25 01:12:30,72.7868,-56.1549,4.51,77,GL,100,6.78
59,Namatanai,2022-03-25 01:12:31,-3.6667,152.4333,86.02,61,PG,12,3.04
60,Saint-Philippe,2022-03-25 01:12:31,-21.3585,55.7679,76.59,82,RE,7,7.7
61,Albany,2022-03-25 01:09:51,42.6001,-73.9662,42.46,85,US,100,2.3
62,Guerrero Negro,2022-03-25 01:12:32,27.9769,-114.0611,71.31,32,MX,96,16.26
63,Port Macquarie,2022-03-25 01:12:32,-31.4333,152.9167,73.89,83,AU,100,5.03
64,Narsaq,2022-03-25 01:12:33,60.9167,-46.05,34.02,69,GL,100,7.85
65,Chara,2022-03-25 01:12:33,56.9064,118.2631,11.57,76,RU,100,2.08
66,Hilo,2022-03-25 01:12:02,19.7297,-155.09,80.33,65,US,20,12.66
67,Bredasdorp,2022-03-25 01:12:34,-34.5322,20.0403,63.21,66,ZA,100,12.66
68,Negombo,2022-03-25 01:12:34,7.2083,79.8358,79.03,76,LK,19,6.91
69,Hailun,2022-03-25 01:12:35,47.45,126.9333,32.99,100,CN,100,12.08
70,Atar,2022-03-25 01:12:35,20.5169,-13.0499,66.65,31,MR,0,10.09
71,Banovici,2022-03-25 01:12:35,44.4053,18.5242,44.8,51,BA,0,3.91
72,Hobart,2022-03-25 01:12:36,-42.8794,147.3294,73.06,54,AU,20,5.75
73,Palmer,2022-03-25 01:10:54,42.1584,-72.3287,42.62,84,US,100,1.99
74,Kapaa,2022-03-25 01:12:36,22.0752,-159.319,80.58,84,US,75,17.27
75,Bagan,2022-03-25 01:12:37,54.1001,77.6646,10.18,97,RU,83,7.72
76,San Cristobal,2022-03-25 01:12:37,7.7669,-72.225,69.4,64,VE,5,1.19
77,Bedesa,2022-03-25 01:12:38,8.9,40.7833,62.6,82,ET,88,3.51
78,Nome,2022-03-25 01:12:38,64.5011,-165.4064,21.27,63,US,0,9.22
79,Cape Town,2022-03-25 01:10:56,-33.9258,18.4232,64.11,71,ZA,1,20.47
80,Vestmannaeyjar,2022-03-25 01:12:39,63.4427,-20.2734,42.73,79,IS,100,6.76
81,Port Hardy,2022-03-25 01:12:39,50.6996,-127.4199,47.97,61,CA,100,12.28
82,Atasu,2022-03-25 01:12:40,48.6814,71.6433,18.59,97,KZ,100,4.72
83,Saint George,2022-03-25 01:12:40,37.1041,-113.5841,81.43,13,US,0,13.8
84,Arraial Do Cabo,2022-03-25 01:12:41,-22.9661,-42.0278,76.3,83,BR,5,23.87
85,Aitape,2022-03-25 01:12:41,-3.1374,142.3475,84.92,70,PG,100,3.56
86,Atuona,2022-03-25 01:10:46,-9.8,-139.0333,79.34,80,PF,94,17.76
87,Rio Grande,2022-03-25 01:12:42,-32.035,-52.0986,71.67,82,BR,100,9.62
88,Qaanaaq,2022-03-25 01:08:16,77.484,-69.3632,-13.5,58,GL,19,8.03
89,Clyde River,2022-03-25 01:12:42,70.4692,-68.5914,-2.49,89,CA,100,14.23
90,Llangefni,2022-03-25 01:12:43,53.2556,-4.3106,55.11,87,GB,100,1.14
91,Noumea,2022-03-25 01:12:43,-22.2763,166.4572,87.78,99,NC,92,11.74
92,Moerai,2022-03-25 01:13:44,-22.4333,-151.3333,80.33,69,PF,100,8.57
93,Pasighat,2022-03-25 01:10:07,28.0667,95.3333,69.8,67,IN,100,2.8
94,Sao Filipe,2022-03-25 01:11:28,14.8961,-24.4956,70.32,72,CV,5,10.65
95,Solnechnyy,2022-03-25 01:13:44,50.7214,136.6319,29.14,88,RU,100,3.76
96,Vaini,2022-03-25 01:13:45,-21.2,-175.2,82.56,78,TO,20,11.5
97,New Norfolk,2022-03-25 01:13:45,-42.7826,147.0587,72.72,46,AU,88,4.0
98,Girvan,2022-03-25 01:13:46,55.2426,-4.8555,41.0,90,GB,100,2.48
